,dt,sensor_std,integration_method
85,0.1,1.5447137448122605,RK1
86,0.1,1.5447137448122605,RK1
87,0.1,1.5460906993856853,RK1
88,0.1,1.5460906993856853,RK1
89,0.1,1.5460906993856853,RK1
90,0.1,1.5460906993856853,RK1
91,0.1,1.5460906993856853,RK1
92,0.1,1.5460906993856853,RK1
93,0.1,1.5456453178510736,RK1
94,0.1,1.5456453178510736,RK1
95,0.1,1.5484616359864118,RK1
96,0.1,1.5484616359864118,RK1
97,0.1,1.5484616359864118,RK1
98,0.1,1.5484616359864118,RK1
99,0.1,1.5460906993856853,RK1
100,0.1,1.54860517667702,RK1
101,0.1,1.54860517667702,RK1
102,0.1,1.5552169273996248,RK1
103,0.1,1.5557638818965773,RK1
104,0.1,1.5542928166836874,RK1
105,0.1,1.5580953514560996,RK1
106,0.1,1.5579501870067813,RK1
107,0.1,1.5572298031446767,RK1
108,0.1,1.5572298031446767,RK1
109,0.1,1.5456453178510736,RK1
110,0.1,1.5456453178510736,RK1
111,0.1,1.5456453178510736,RK1
112,0.1,1.5456453178510736,RK1
113,0.1,1.5456453178510736,RK1
114,0.1,1.5456453178510736,RK1
115,0.1,1.5572298031446767,RK1
116,0.1,1.561482333419452,RK1
117,0.1,1.5609043756894851,RK1
118,0.1,1.5599955331124535,RK1
119,0.1,1.5599955331124535,RK1
120,0.1,1.5599955331124535,RK1
121,0.1,1.5602887283278741,RK1
122,0.1,1.5602887283278741,RK1
123,0.1,1.5602887283278741,RK1
124,0.1,1.5619827354297333,RK1
125,0.1,1.5616207433018636,RK1
126,0.1,1.5595991065977188,RK1
127,0.1,1.5595991065977188,RK1
128,0.1,1.5595975463135108,RK1
129,0.1,1.5595975463135108,RK1
130,0.1,1.5590435897499748,RK1
131,0.1,1.5589093192969916,RK1
132,0.1,1.558584932130896,RK1
133,0.1,1.5619827354297333,RK1
134,0.1,1.5619827354297333,RK1
135,0.1,1.5619827354297333,RK1
136,0.1,1.5619827354297333,RK1
137,0.1,1.5619827354297333,RK1
138,0.1,1.5619827354297333,RK1
139,0.1,1.5619827354297333,RK1
140,0.1,1.5616207433018636,RK1
141,0.1,1.561482333419452,RK1
142,0.1,1.5616207433018636,RK1
143,0.1,1.561482333419452,RK1
144,0.1,1.5609043756894851,RK1
145,0.1,1.5609043756894851,RK1
146,0.1,1.5602887283278741,RK1
147,0.1,1.5599955331124535,RK1
148,0.1,1.5611505428759846,RK1
149,0.1,1.5611505428759846,RK1
150,0.1,1.5609043756894851,RK1
151,0.1,1.5609043756894851,RK1
152,0.1,1.5609043756894851,RK1
153,0.1,1.5616207433018636,RK1
154,0.1,1.5619827354297333,RK1
155,0.1,1.5619827354297333,RK1
156,0.1,1.5619827354297333,RK1
157,0.1,1.5619827354297333,RK1
158,0.1,1.5616207433018636,RK1
159,0.1,1.5609043756894851,RK1
160,0.1,1.5607643804925488,RK1
161,0.1,1.5598740441272805,RK1
162,0.1,1.5595975463135108,RK1
163,0.1,1.5589093192969916,RK1
164,0.1,1.5587940713358963,RK1
165,0.1,1.558584932130896,RK1
166,0.1,1.558584932130896,RK1
167,0.1,1.558202280946255,RK1
168,0.1,1.5580953514560996,RK1
169,0.1,1.5579501870067813,RK1
170,0.1,1.5579501870067813,RK1
171,0.1,1.5579501870067813,RK1
172,0.1,1.5579501870067813,RK1
173,0.1,1.5579501870067813,RK1
174,0.1,1.5579501870067813,RK1
175,0.1,1.5572298031446767,RK1
176,0.1,1.5572298031446767,RK1
177,0.1,1.5572298031446767,RK1
178,0.1,1.5572298031446767,RK1
179,0.1,1.5572298031446767,RK1
180,0.1,1.5572298031446767,RK1
181,0.1,1.5572298031446767,RK1
182,0.1,1.5572298031446767,RK1
183,0.1,1.5572298031446767,RK1
184,0.1,1.5572298031446767,RK1
185,0.1,1.5568979517292365,RK1
186,0.1,1.5568868702647922,RK1
187,0.1,1.5568868702647922,RK1
188,0.1,1.5568868702647922,RK1
189,0.1,1.5558222885633561,RK1
190,0.1,1.5558222885633561,RK1
191,0.1,1.5558222885633561,RK1
192,0.1,1.5558222885633561,RK1
193,0.1,1.5568868702647922,RK1
194,0.1,1.5568868702647922,RK1
195,0.1,1.5558222885633561,RK1
196,0.1,1.5558222885633561,RK1
197,0.1,1.5558222885633561,RK1
198,0.1,1.5558222885633561,RK1
199,0.1,1.5558222885633561,RK1
